Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
J3,FP_USB_C_Receptacle_HRO_TYPE_C_31_M_12,47.55mm,89.746mm,47.55mm,93.19mm,44.35mm,89.145mm,B,0,USB_C_Receptacle_2_0
LED1,FP_LED_SK6812MINI_E,31.717mm,91.05mm,31.717mm,91.05mm,34.442mm,91.8mm,T,180,SK6812
LED2,FP_LED_SK6812MINI_E,63.383mm,91.05mm,63.383mm,91.05mm,66.108mm,91.8mm,T,180,SK6812
LED3,FP_LED_SK6812MINI_E,91.05mm,63.383mm,91.05mm,63.383mm,91.8mm,60.658mm,T,90,SK6812
LED4,FP_LED_SK6812MINI_E,91.05mm,31.717mm,91.05mm,31.717mm,91.8mm,28.992mm,T,90,SK6812
LED5,FP_LED_SK6812MINI_E,63.383mm,4.05mm,63.383mm,4.05mm,60.658mm,3.3mm,T,0,SK6812
LED6,FP_LED_SK6812MINI_E,31.717mm,4.05mm,31.717mm,4.05mm,28.992mm,3.3mm,T,0,SK6812
LED7,FP_LED_SK6812MINI_E,4.05mm,31.717mm,4.05mm,31.717mm,3.3mm,34.442mm,T,270,SK6812
LED8,FP_LED_SK6812MINI_E,4.05mm,63.383mm,4.05mm,63.383mm,3.3mm,66.108mm,T,270,SK6812
LED17,FP_LED_SK6812MINI_E,38.02mm,71.19mm,38.02mm,71.19mm,40.745mm,70.44mm,B,180,SK6812
LED18,FP_LED_SK6812MINI_E,57.08mm,71.19mm,57.08mm,71.19mm,59.805mm,70.44mm,B,180,SK6812
LED19,FP_LED_SK6812MINI_E,38.02mm,14.05mm,38.02mm,14.05mm,40.745mm,13.3mm,B,180,SK6812
LED20,FP_LED_SK6812MINI_E,57.08mm,14.05mm,57.08mm,14.05mm,59.805mm,13.3mm,B,180,SK6812
LED21,FP_LED_SK6812MINI_E,76.12mm,14.05mm,76.12mm,14.05mm,78.845mm,13.3mm,B,180,SK6812
LED22,FP_LED_SK6812MINI_E,18.98mm,52.15mm,18.98mm,52.15mm,21.705mm,51.4mm,B,180,SK6812
LED23,FP_LED_SK6812MINI_E,38.02mm,52.15mm,38.02mm,52.15mm,40.745mm,51.4mm,B,180,SK6812
